Target: http://cozyhosting.htb/
Total requests: 4989
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00241:  C=301      7 L	      12 W	    178 Ch	  "dialin"
00249:  C=301      7 L	      12 W	    178 Ch	  "videos"
00257:  C=301      7 L	      12 W	    178 Ch	  "webdisk.dev"
00252:  C=301      7 L	      12 W	    178 Ch	  "testing"
00256:  C=301      7 L	      12 W	    178 Ch	  "member"
00254:  C=301      7 L	      12 W	    178 Ch	  "marketing"
00255:  C=301      7 L	      12 W	    178 Ch	  "sitedefender"
00253:  C=301      7 L	      12 W	    178 Ch	  "sharepoint"
00248:  C=301      7 L	      12 W	    178 Ch	  "alpha"
00251:  C=301      7 L	      12 W	    178 Ch	  "promo"
00250:  C=301      7 L	      12 W	    178 Ch	  "ns7"
00247:  C=301      7 L	      12 W	    178 Ch	  "s3"
00246:  C=301      7 L	      12 W	    178 Ch	  "cacti"
00243:  C=301      7 L	      12 W	    178 Ch	  "sp"
00245:  C=301      7 L	      12 W	    178 Ch	  "vip"
00242:  C=301      7 L	      12 W	    178 Ch	  "us"
00244:  C=301      7 L	      12 W	    178 Ch	  "panelstats"
00239:  C=301      7 L	      12 W	    178 Ch	  "www.mobile"
00240:  C=301      7 L	      12 W	    178 Ch	  "ftp1"
00236:  C=301      7 L	      12 W	    178 Ch	  "web3"
00238:  C=301      7 L	      12 W	    178 Ch	  "poczta"
00258:  C=301      7 L	      12 W	    178 Ch	  "emkt"
00260:  C=301      7 L	      12 W	    178 Ch	  "edu"
00282:  C=301      7 L	      12 W	    178 Ch	  "builder.cp"
00264:  C=301      7 L	      12 W	    178 Ch	  "catalog"
00280:  C=301      7 L	      12 W	    178 Ch	  "db1"
00272:  C=301      7 L	      12 W	    178 Ch	  "webmail.cp"
00279:  C=301      7 L	      12 W	    178 Ch	  "v2"
00281:  C=301      7 L	      12 W	    178 Ch	  "mailserver"
00278:  C=301      7 L	      12 W	    178 Ch	  "panelstatsmail"
00277:  C=301      7 L	      12 W	    178 Ch	  "master"
00276:  C=301      7 L	      12 W	    178 Ch	  "staff"
00275:  C=301      7 L	      12 W	    178 Ch	  "design"
00274:  C=301      7 L	      12 W	    178 Ch	  "speedtest"
00270:  C=301      7 L	      12 W	    178 Ch	  "elearning"
00271:  C=301      7 L	      12 W	    178 Ch	  "fb"
00269:  C=301      7 L	      12 W	    178 Ch	  "sandbox"
00273:  C=301      7 L	      12 W	    178 Ch	  "downloads"
00268:  C=301      7 L	      12 W	    178 Ch	  "www.news"
00267:  C=301      7 L	      12 W	    178 Ch	  "ww2"
00266:  C=301      7 L	      12 W	    178 Ch	  "job"
00263:  C=301      7 L	      12 W	    178 Ch	  "autodiscover.m"
00265:  C=301      7 L	      12 W	    178 Ch	  "webdisk.test"
00261:  C=301      7 L	      12 W	    178 Ch	  "autoconfig.m"
00259:  C=301      7 L	      12 W	    178 Ch	  "training"
00262:  C=301      7 L	      12 W	    178 Ch	  "git"
00283:  C=301      7 L	      12 W	    178 Ch	  "travel"
00289:  C=301      7 L	      12 W	    178 Ch	  "sitebuilder"
00285:  C=301      7 L	      12 W	    178 Ch	  "ca"
00307:  C=301      7 L	      12 W	    178 Ch	  "images3"
00297:  C=301      7 L	      12 W	    178 Ch	  "images1"
